timestamp,temperature,pressure,flow,anomaly
2026-07-01T10:54:24.071558+00:00,25.57,2.4723,10.6569,0
2026-07-01T10:54:24.071558+00:00,25.923,2.4706,10.6117,0
2026-07-01T10:54:24.071558+00:00,25.93,2.5095,10.4603,1
2026-07-01T10:54:24.071558+00:00,31.499,2.37,10.5902,1
2026-07-01T10:54:24.071558+00:00,38.427,2.4686,10.3528,1
2026-07-01T10:54:24.071558+00:00,43.77,2.3969,10.4595,1
2026-07-01T10:54:24.071558+00:00,49.64,2.5158,10.472,1
2026-07-01T10:54:24.071558+00:00,55.389,2.3354,10.4385,1
2026-07-01T10:54:24.071558+00:00,61.734,2.4482,10.4432,1
2026-07-01T10:54:24.071558+00:00,61.58,2.4259,10.4763,1
2026-07-01T10:54:24.071558+00:00,60.77,2.4391,10.422,1
2026-07-01T10:54:24.071558+00:00,61.081,2.3981,10.4347,1
2026-07-01T10:54:24.071558+00:00,61.126,2.3946,10.499,1
2026-07-01T10:54:24.071558+00:00,57.702,2.4095,10.6839,1
2026-07-01T10:54:24.071558+00:00,49.425,2.5003,10.5196,1
2026-07-01T10:54:24.071558+00:00,41.03,2.4149,10.8819,1
2026-07-01T10:54:24.071558+00:00,34.186,2.4767,10.7655,1
2026-07-01T10:54:24.071558+00:00,26.082,2.3829,10.8306,1
2026-07-01T10:54:24.071558+00:00,26.074,1.6319,10.5047,1
2026-07-01T10:54:24.071558+00:00,26.345,0.8896,10.602,1
2026-07-01T10:54:24.071558+00:00,25.429,0.9822,10.7512,1
2026-07-01T10:54:24.071558+00:00,26.008,0.8198,10.8974,1
2026-07-01T10:54:24.071558+00:00,25.331,0.8658,10.7131,1
2026-07-01T10:54:24.087428+00:00,25.669,0.8699,10.5923,1
2026-07-01T10:54:24.087428+00:00,26.166,0.8751,10.6739,1
2026-07-01T10:54:24.087428+00:00,25.865,0.9203,10.6934,1
2026-07-01T10:54:24.087428+00:00,25.157,1.6915,10.9158,1
2026-07-01T10:54:24.087428+00:00,24.646,2.4118,10.6947,0
2026-07-01T10:54:24.087428+00:00,25.233,2.4493,10.7776,0
2026-07-01T10:54:24.087428+00:00,24.7,2.3853,10.6806,0
2026-07-01T10:54:24.087428+00:00,25.622,2.3759,10.6023,0
2026-07-01T10:54:24.087428+00:00,25.523,2.4093,10.8375,0
2026-07-01T10:54:24.087428+00:00,24.992,2.4429,10.3685,0
2026-07-01T10:54:24.087428+00:00,25.114,2.3762,10.7398,0
2026-07-01T10:54:24.087428+00:00,25.309,2.4403,10.55,0
2026-07-01T10:54:24.088896+00:00,25.242,2.406,10.5359,0
2026-07-01T10:54:24.088896+00:00,25.349,2.3914,10.499,0
2026-07-01T10:54:24.088896+00:00,25.488,2.3816,10.4552,0
2026-07-01T10:54:24.088896+00:00,24.712,2.3773,10.2213,0
2026-07-01T10:54:24.088896+00:00,25.033,2.397,10.5075,0
2026-07-01T10:54:24.088896+00:00,26.251,2.3235,10.3908,0
2026-07-01T10:54:24.088896+00:00,24.437,2.4233,10.5537,0
2026-07-01T10:54:24.088896+00:00,25.034,2.3365,10.401,0
2026-07-01T10:54:24.088896+00:00,24.992,2.3907,10.4809,0
2026-07-01T10:54:24.088896+00:00,24.387,2.4035,10.4253,0
2026-07-01T10:54:24.088896+00:00,25.192,2.3825,10.4389,1
2026-07-01T10:54:24.088896+00:00,24.632,1.6114,10.3967,1
2026-07-01T10:54:24.088896+00:00,24.364,0.9281,10.3805,1
2026-07-01T10:54:24.088896+00:00,24.405,0.9881,10.4297,1
2026-07-01T10:54:24.088896+00:00,24.919,0.9193,10.1664,1
2026-07-01T10:54:24.088896+00:00,23.55,0.8746,10.4311,1
2026-07-01T10:54:24.088896+00:00,24.627,0.9084,10.3101,1
2026-07-01T10:54:24.088896+00:00,24.537,0.8577,10.2563,1
2026-07-01T10:54:24.088896+00:00,24.245,0.8697,10.1342,1
2026-07-01T10:54:24.088896+00:00,24.11,1.7154,9.8462,1
2026-07-01T10:54:24.088896+00:00,23.471,2.4143,10.1544,0
2026-07-01T10:54:24.088896+00:00,24.494,2.3993,10.1252,0
2026-07-01T10:54:24.088896+00:00,24.115,2.3526,10.0408,0
2026-07-01T10:54:24.088896+00:00,24.274,2.3987,9.9725,0
2026-07-01T10:54:24.088896+00:00,24.008,2.3935,9.9702,0
2026-07-01T10:54:24.088896+00:00,24.275,2.3949,9.8657,0
2026-07-01T10:54:24.088896+00:00,23.507,2.4999,10.1745,0
2026-07-01T10:54:24.088896+00:00,24.574,2.489,9.864,0
2026-07-01T10:54:24.088896+00:00,24.249,2.4832,10.171,0
2026-07-01T10:54:24.088896+00:00,24.304,2.3487,9.9918,1
2026-07-01T10:54:24.088896+00:00,23.656,3.0535,9.9574,1
2026-07-01T10:54:24.088896+00:00,24.141,3.6428,10.0265,1
2026-07-01T10:54:24.088896+00:00,23.36,4.3003,10.0402,1
2026-07-01T10:54:24.088896+00:00,21.745,3.9682,9.8417,1
2026-07-01T10:54:24.088896+00:00,20.371,3.7239,9.6893,1
2026-07-01T10:54:24.088896+00:00,18.774,3.5117,9.4974,1
2026-07-01T10:54:24.088896+00:00,16.642,3.1591,9.8516,1
2026-07-01T10:54:24.088896+00:00,14.751,2.9475,9.6106,1
2026-07-01T10:54:24.088896+00:00,14.174,2.6143,9.6067,1
2026-07-01T10:54:24.088896+00:00,13.383,2.3949,9.308,1
2026-07-01T10:54:24.093602+00:00,13.669,2.5487,9.5011,1
2026-07-01T10:54:24.093602+00:00,14.829,2.3738,9.5632,1
2026-07-01T10:54:24.093602+00:00,15.309,2.4986,9.8338,1
2026-07-01T10:54:24.093602+00:00,16.59,2.4741,9.5237,1
2026-07-01T10:54:24.093602+00:00,18.346,2.484,9.4915,1
2026-07-01T10:54:24.093602+00:00,19.895,2.487,9.2076,1
2026-07-01T10:54:24.093602+00:00,21.569,2.5442,9.6822,1
2026-07-01T10:54:24.093602+00:00,23.737,2.3483,9.6939,0
2026-07-01T10:54:24.093602+00:00,23.621,2.4532,9.4379,0
2026-07-01T10:54:24.093602+00:00,24.499,2.4832,9.5924,0
